day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,price_location,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,day_total_profit,day_call_profit,day_put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,near_call_volume_share_per_oi,near_put_volume_share_per_oi,far_call_volume_share_per_oi,far_put_volume_share_per_oi,pattern_location,pattern_height,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_1,1,1,1710475560,1710476400,170.4,198.15,27.75,0.0,Friday,1,22100_PE,0,SHORT,,,,221.52,139.728,45,1,EC,22044.65,22014.2,1710475560,,1,22044.65,0.0,4.545454545454541,-0.06,0.0,0.0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22044.65],2.72,4.25,4641500,7244800,1.46,3.14,-0.22,put_to_call_trans,0.012,0.018,-0.006,0.0,2.59,0.99,-0.77,0.8947368421052632,0.1,0.57,1.27,1.15,-0.07,0.09,-0.2,-0.07,0.09,-0.2,0.142,0.222,0.078,0.478,-0.081,-0.4,1.183,2.29,0.616,1.023,4.545454545454541,0,1,,,,,,,,,,,,2024-03-15 09:36:00,2024-03-15 09:50:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_1,2,1,1710475560,1710476400,170.4,198.15,27.75,0.0,Friday,2,22100_PE,0,SHORT,,,,204.48,139.728,45,1,EC,22044.65,22014.2,1710475560,,1,22044.65,0.0,4.545454545454541,-0.06,0.0,0.0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22044.65],2.72,4.25,4641500,7244800,1.46,3.14,-0.22,put_to_call_trans,0.012,0.018,-0.006,0.0,2.59,0.99,-0.77,0.8947368421052632,0.1,0.57,1.27,1.15,-0.07,0.09,-0.2,-0.07,0.09,-0.2,0.142,0.222,0.078,0.478,-0.081,-0.4,1.183,2.29,0.616,1.023,4.545454545454541,0,1,,,,,,,,,,,,2024-03-15 09:36:00,2024-03-15 09:50:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_1,3,1,1710475560,1710475800,170.4,192.75,22.35,0.0,Friday,3,22100_PE,0,SHORT,,,,187.44000000000003,139.728,45,1,IT,22044.65,22021.0,1710475560,,1,22044.65,0.0,4.545454545454541,-0.06,0.0,0.0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22044.65],2.72,4.25,4641500,7244800,1.46,3.14,-0.22,put_to_call_trans,0.012,0.018,-0.006,0.0,2.59,0.99,-0.77,0.8947368421052632,0.1,0.57,1.27,1.15,-0.07,0.09,-0.2,-0.07,0.09,-0.2,0.142,0.222,0.078,0.478,-0.081,-0.4,1.183,2.29,0.616,1.023,4.545454545454541,0,1,,,,,,,,,,,,2024-03-15 09:36:00,2024-03-15 09:40:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_1,4,1,1710475560,1710476400,170.4,198.15,27.75,0.0,Friday,4,22100_PE,0,SHORT,,,,255.60000000000002,139.728,45,1,EC,22044.65,22014.2,1710475560,,1,22044.65,0.0,4.545454545454541,-0.06,0.0,0.0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22044.65],2.72,4.25,4641500,7244800,1.46,3.14,-0.22,put_to_call_trans,0.012,0.018,-0.006,0.0,2.59,0.99,-0.77,0.8947368421052632,0.1,0.57,1.27,1.15,-0.07,0.09,-0.2,-0.07,0.09,-0.2,0.142,0.222,0.078,0.478,-0.081,-0.4,1.183,2.29,0.616,1.023,4.545454545454541,0,1,,,,,,,,,,,,2024-03-15 09:36:00,2024-03-15 09:50:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_2,1,1,1710476400,1710476460,198.15,202.05,3.9,0.0,Friday,1,22100_PE,0,SHORT,,,,257.595,162.483,45,1,EC,22014.2,22012.0,1710476400,,2,22014.2,0.0,2.777777777777779,-0.16,0.0,-0.07,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22014.2],2.33,3.82,3975550,6512400,1.23,2.47,-0.31,call_buildup,0.026,0.025,0.001,0.0,2.66,0.69,-0.4,0.15789473684210525,0.1,0.65,1.18,1.16,-0.1,0.2,-0.41,-0.1,0.2,-0.41,0.136,0.21,0.097,0.488,-0.074,-0.391,1.189,2.403,0.537,1.224,2.777777777777779,0,1,,,,,,,,,,,,2024-03-15 09:50:00,2024-03-15 09:51:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_2,2,1,1710476400,1710476460,198.15,202.05,3.9,0.0,Friday,2,22100_PE,0,SHORT,,,,237.78,162.483,45,1,EC,22014.2,22012.0,1710476400,,2,22014.2,0.0,2.777777777777779,-0.16,0.0,-0.07,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22014.2],2.33,3.82,3975550,6512400,1.23,2.47,-0.31,call_buildup,0.026,0.025,0.001,0.0,2.66,0.69,-0.4,0.15789473684210525,0.1,0.65,1.18,1.16,-0.1,0.2,-0.41,-0.1,0.2,-0.41,0.136,0.21,0.097,0.488,-0.074,-0.391,1.189,2.403,0.537,1.224,2.777777777777779,0,1,,,,,,,,,,,,2024-03-15 09:50:00,2024-03-15 09:51:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_2,3,1,1710476400,1710476460,198.15,202.05,3.9,0.0,Friday,3,22100_PE,0,SHORT,,,,217.96500000000003,162.483,45,1,EC,22014.2,22012.0,1710476400,,2,22014.2,0.0,2.777777777777779,-0.16,0.0,-0.07,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22014.2],2.33,3.82,3975550,6512400,1.23,2.47,-0.31,call_buildup,0.026,0.025,0.001,0.0,2.66,0.69,-0.4,0.15789473684210525,0.1,0.65,1.18,1.16,-0.1,0.2,-0.41,-0.1,0.2,-0.41,0.136,0.21,0.097,0.488,-0.074,-0.391,1.189,2.403,0.537,1.224,2.777777777777779,0,1,,,,,,,,,,,,2024-03-15 09:50:00,2024-03-15 09:51:00
2024-03-15,NIFTY_22100_PE,PutBuy,SIG_2,4,1,1710476400,1710476460,198.15,202.05,3.9,0.0,Friday,4,22100_PE,0,SHORT,,,,297.225,162.483,45,1,EC,22014.2,22012.0,1710476400,,2,22014.2,0.0,2.777777777777779,-0.16,0.0,-0.07,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[22014.2],2.33,3.82,3975550,6512400,1.23,2.47,-0.31,call_buildup,0.026,0.025,0.001,0.0,2.66,0.69,-0.4,0.15789473684210525,0.1,0.65,1.18,1.16,-0.1,0.2,-0.41,-0.1,0.2,-0.41,0.136,0.21,0.097,0.488,-0.074,-0.391,1.189,2.403,0.537,1.224,2.777777777777779,0,1,,,,,,,,,,,,2024-03-15 09:50:00,2024-03-15 09:51:00
2024-03-13,NIFTY_22400_PE,PutBuy,SIG_1,1,1,1710303900,1710303960,134.7,131.25,-3.45,-0.0,Wednesday,1,22400_PE,0,SHORT,,,,175.10999999999999,110.454,45,1,EC,22279.65,22279.6,1710303900,,2,22279.65,0.0,2.4390243902439046,-0.38,0.0,-0.31,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[22279.65],1.9,3.36,6019000,10672600,1.48,2.11,-0.36,both_build_up,0.011,0.006,0.004,0.0,1.89,0.96,-0.76,0.8888888888888888,0.05,0.66,1.62,1.24,0.02,0.26,-0.4,0.02,0.26,-0.4,0.131,0.226,0.137,0.464,-0.095,-0.327,1.106,2.716,0.444,1.094,2.4390243902439046,0,1,,,,,,,,,,,,2024-03-13 09:55:00,2024-03-13 09:56:00
2024-03-13,NIFTY_22400_PE,PutBuy,SIG_1,2,1,1710303900,1710303960,134.7,131.25,-3.45,-0.0,Wednesday,2,22400_PE,0,SHORT,,,,161.64,110.454,45,1,EC,22279.65,22279.6,1710303900,,2,22279.65,0.0,2.4390243902439046,-0.38,0.0,-0.31,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[22279.65],1.9,3.36,6019000,10672600,1.48,2.11,-0.36,both_build_up,0.011,0.006,0.004,0.0,1.89,0.96,-0.76,0.8888888888888888,0.05,0.66,1.62,1.24,0.02,0.26,-0.4,0.02,0.26,-0.4,0.131,0.226,0.137,0.464,-0.095,-0.327,1.106,2.716,0.444,1.094,2.4390243902439046,0,1,,,,,,,,,,,,2024-03-13 09:55:00,2024-03-13 09:56:00
2024-03-13,NIFTY_22400_PE,PutBuy,SIG_1,3,1,1710303900,1710303960,134.7,131.25,-3.45,-0.0,Wednesday,3,22400_PE,0,SHORT,,,,148.17,110.454,45,1,EC,22279.65,22279.6,1710303900,,2,22279.65,0.0,2.4390243902439046,-0.38,0.0,-0.31,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[22279.65],1.9,3.36,6019000,10672600,1.48,2.11,-0.36,both_build_up,0.011,0.006,0.004,0.0,1.89,0.96,-0.76,0.8888888888888888,0.05,0.66,1.62,1.24,0.02,0.26,-0.4,0.02,0.26,-0.4,0.131,0.226,0.137,0.464,-0.095,-0.327,1.106,2.716,0.444,1.094,2.4390243902439046,0,1,,,,,,,,,,,,2024-03-13 09:55:00,2024-03-13 09:56:00
2024-03-13,NIFTY_22400_PE,PutBuy,SIG_1,4,1,1710303900,1710303960,134.7,131.25,-3.45,-0.0,Wednesday,4,22400_PE,0,SHORT,,,,202.04999999999998,110.454,45,1,EC,22279.65,22279.6,1710303900,,2,22279.65,0.0,2.4390243902439046,-0.38,0.0,-0.31,-0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[22279.65],1.9,3.36,6019000,10672600,1.48,2.11,-0.36,both_build_up,0.011,0.006,0.004,0.0,1.89,0.96,-0.76,0.8888888888888888,0.05,0.66,1.62,1.24,0.02,0.26,-0.4,0.02,0.26,-0.4,0.131,0.226,0.137,0.464,-0.095,-0.327,1.106,2.716,0.444,1.094,2.4390243902439046,0,1,,,,,,,,,,,,2024-03-13 09:55:00,2024-03-13 09:56:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_2,1,1,1710308100,1710309600,111.7,166.85,55.15,-0.0,Wednesday,1,22300_PE,0,SHORT,,,,145.21,91.59400000000001,45,1,IT,22228.6,22154.65,1710308100,,4,22228.6,0.75,0.9009009009009028,-0.22,-0.24,-0.22,-0.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[22228.6],2.91,4.31,9240500,13683550,2.62,3.29,-0.46,put_to_call_trans,0.016,0.02,-0.004,0.0,2.81,0.68,-0.09,0.8421052631578947,0.3,0.87,1.17,1.36,0.07,0.45,-0.76,0.07,0.45,-0.76,0.106,0.189,0.069,0.574,-0.083,-0.505,1.401,2.569,0.53,1.402,0.9009009009009028,0,1,0.1751,-0.8382,0.83,0.92,0.43,0.5363,-0.1063,0.78,0.3,0.7867,0.1329,2024-03-13 11:05:00,2024-03-13 11:30:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_2,2,1,1710308100,1710309240,111.7,137.2,25.5,-0.0,Wednesday,2,22300_PE,0,SHORT,,,,134.04,91.59400000000001,45,1,IT,22228.6,22194.95,1710308100,,4,22228.6,0.75,0.9009009009009028,-0.22,-0.24,-0.22,-0.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[22228.6],2.91,4.31,9240500,13683550,2.62,3.29,-0.46,put_to_call_trans,0.016,0.02,-0.004,0.0,2.81,0.68,-0.09,0.8421052631578947,0.3,0.87,1.17,1.36,0.07,0.45,-0.76,0.07,0.45,-0.76,0.106,0.189,0.069,0.574,-0.083,-0.505,1.401,2.569,0.53,1.402,0.9009009009009028,0,1,0.1751,-0.8382,0.83,0.92,0.43,0.5363,-0.1063,0.78,0.3,0.7867,0.1329,2024-03-13 11:05:00,2024-03-13 11:24:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_2,3,1,1710308100,1710309180,111.7,132.6,20.9,-0.0,Wednesday,3,22300_PE,0,SHORT,,,,122.87000000000002,91.59400000000001,45,1,IT,22228.6,22205.55,1710308100,,4,22228.6,0.75,0.9009009009009028,-0.22,-0.24,-0.22,-0.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[22228.6],2.91,4.31,9240500,13683550,2.62,3.29,-0.46,put_to_call_trans,0.016,0.02,-0.004,0.0,2.81,0.68,-0.09,0.8421052631578947,0.3,0.87,1.17,1.36,0.07,0.45,-0.76,0.07,0.45,-0.76,0.106,0.189,0.069,0.574,-0.083,-0.505,1.401,2.569,0.53,1.402,0.9009009009009028,0,1,0.1751,-0.8382,0.83,0.92,0.43,0.5363,-0.1063,0.78,0.3,0.7867,0.1329,2024-03-13 11:05:00,2024-03-13 11:23:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_2,4,1,1710308100,1710309660,111.7,168.0,56.3,-0.0,Wednesday,4,22300_PE,0,SHORT,,,,167.55,91.59400000000001,45,1,IT,22228.6,22151.0,1710308100,,4,22228.6,0.75,0.9009009009009028,-0.22,-0.24,-0.22,-0.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[22228.6],2.91,4.31,9240500,13683550,2.62,3.29,-0.46,put_to_call_trans,0.016,0.02,-0.004,0.0,2.81,0.68,-0.09,0.8421052631578947,0.3,0.87,1.17,1.36,0.07,0.45,-0.76,0.07,0.45,-0.76,0.106,0.189,0.069,0.574,-0.083,-0.505,1.401,2.569,0.53,1.402,0.9009009009009028,0,1,0.1751,-0.8382,0.83,0.92,0.43,0.5363,-0.1063,0.78,0.3,0.7867,0.1329,2024-03-13 11:05:00,2024-03-13 11:31:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_3,1,1,1710309120,1710309600,117.8,166.85,49.05,-0.0,Wednesday,1,22300_PE,0,SHORT,,,,153.14000000000001,96.596,45,1,IT,22220.6,22154.65,1710309120,,5,22220.6,0.6,0.78125,-0.22,-0.18,-0.14,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[22220.6],2.09,3.4,6644950,10793700,1.91,2.6,-0.49,call_buildup,0.005,0.005,0.0,0.0,1.81,0.8,-0.34,0.8421052631578947,0.1,1.21,1.35,1.61,0.07,0.45,-0.85,0.07,0.45,-0.85,0.103,0.184,0.084,0.57,-0.081,-0.486,1.628,2.823,0.42,1.472,0.78125,0,1,0.0905,-0.5427,0.9,0.96,0.45,0.5311,-0.0811,0.74,0.32,0.7079,0.1211,2024-03-13 11:22:00,2024-03-13 11:30:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_3,2,1,1710309120,1710309300,117.8,144.5,26.7,-0.0,Wednesday,2,22300_PE,0,SHORT,,,,141.35999999999999,96.596,45,1,IT,22220.6,22187.4,1710309120,,5,22220.6,0.6,0.78125,-0.22,-0.18,-0.14,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[22220.6],2.09,3.4,6644950,10793700,1.91,2.6,-0.49,call_buildup,0.005,0.005,0.0,0.0,1.81,0.8,-0.34,0.8421052631578947,0.1,1.21,1.35,1.61,0.07,0.45,-0.85,0.07,0.45,-0.85,0.103,0.184,0.084,0.57,-0.081,-0.486,1.628,2.823,0.42,1.472,0.78125,0,1,0.0905,-0.5427,0.9,0.96,0.45,0.5311,-0.0811,0.74,0.32,0.7079,0.1211,2024-03-13 11:22:00,2024-03-13 11:25:00
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_3,3,1,1710309120,1710309180,117.8,132.6,14.8,-0.0,Wednesday,3,22300_PE,0,SHORT,,,,129.58,96.596,45,1,IT,22220.6,22205.55,1710309120,,5,22220.6,0.6,0.78125,-0.22,-0.18,-0.14,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[22220.6],2.09,3.4,6644950,10793700,1.91,2.6,-0.49,call_buildup,0.005,0.005,0.0,0.0,1.81,0.8,-0.34,0.8421052631578947,0.1,1.21,1.35,1.61,0.07,0.45,-0.85,0.07,0.45,-0.85,0.103,0.184,0.084,0.57,-0.081,-0.486,1.628,2.823,0.42,1.472,0.78125,0,1,0.0905,-0.5427,0.9,0.96,0.45,0.5311,-0.0811,0.74,0.32,0.7079,0.1211,2024-03-13 11:22:00,2024-03-13 11:23:00
