day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,price_location,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,day_total_profit,day_call_profit,day_put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,near_call_volume_share_per_oi,near_put_volume_share_per_oi,far_call_volume_share_per_oi,far_put_volume_share_per_oi,pattern_location,pattern_height,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2024-03-13,NIFTY_22300_PE,PutBuy,SIG_3,4,1,1710309120,1710309960,117.8,161.65,43.85,-0.0,Wednesday,4,22300_PE,0,SHORT,,,,176.7,96.596,45,1,EC,22220.6,22162.4,1710309120,,5,22220.6,0.6,0.78125,-0.22,-0.18,-0.14,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[22220.6],2.09,3.4,6644950,10793700,1.91,2.6,-0.49,call_buildup,0.005,0.005,0.0,0.0,1.81,0.8,-0.34,0.8421052631578947,0.1,1.21,1.35,1.61,0.07,0.45,-0.85,0.07,0.45,-0.85,0.103,0.184,0.084,0.57,-0.081,-0.486,1.628,2.823,0.42,1.472,0.78125,0,1,0.0905,-0.5427,0.9,0.96,0.45,0.5311,-0.0811,0.74,0.32,0.7079,0.1211,2024-03-13 11:22:00,2024-03-13 11:36:00
2024-03-12,NIFTY_22400_PE,PutBuy,SIG_1,1,1,1710220500,1710220620,109.2,144.7,35.5,-0.0,Tuesday,1,22400_PE,0,SHORT,,,,141.96,89.54400000000001,45,1,IT,22320.2,22266.85,1710220500,,4,22320.2,1.0,2.197802197802201,0.22,-0.02,0.04,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22320.2],3.89,5.26,7919550,10711300,3.36,5.42,-0.14,both_covering,-0.04,-0.014,-0.027,-0.013,2.14,0.62,-0.86,0.7368421052631579,0.15,0.65,1.16,1.03,0.03,-0.02,0.06,0.03,-0.02,0.06,0.16,0.252,0.071,0.458,-0.091,-0.387,1.362,1.96,0.709,0.804,2.197802197802201,0,1,0.0982,-0.5688,0.86,0.92,0.48,0.5682,-0.0882,0.8,0.33,0.7928,0.1859,2024-03-12 10:45:00,2024-03-12 10:47:00
2024-03-12,NIFTY_22400_PE,PutBuy,SIG_1,2,1,1710220500,1710220560,109.2,140.5,31.3,-0.0,Tuesday,2,22400_PE,0,SHORT,,,,131.04,89.54400000000001,45,1,IT,22320.2,22276.2,1710220500,,4,22320.2,1.0,2.197802197802201,0.22,-0.02,0.04,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22320.2],3.89,5.26,7919550,10711300,3.36,5.42,-0.14,both_covering,-0.04,-0.014,-0.027,-0.013,2.14,0.62,-0.86,0.7368421052631579,0.15,0.65,1.16,1.03,0.03,-0.02,0.06,0.03,-0.02,0.06,0.16,0.252,0.071,0.458,-0.091,-0.387,1.362,1.96,0.709,0.804,2.197802197802201,0,1,0.0982,-0.5688,0.86,0.92,0.48,0.5682,-0.0882,0.8,0.33,0.7928,0.1859,2024-03-12 10:45:00,2024-03-12 10:46:00
2024-03-12,NIFTY_22400_PE,PutBuy,SIG_1,3,1,1710220500,1710220560,109.2,140.5,31.3,-0.0,Tuesday,3,22400_PE,0,SHORT,,,,120.12000000000002,89.54400000000001,45,1,IT,22320.2,22276.2,1710220500,,4,22320.2,1.0,2.197802197802201,0.22,-0.02,0.04,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22320.2],3.89,5.26,7919550,10711300,3.36,5.42,-0.14,both_covering,-0.04,-0.014,-0.027,-0.013,2.14,0.62,-0.86,0.7368421052631579,0.15,0.65,1.16,1.03,0.03,-0.02,0.06,0.03,-0.02,0.06,0.16,0.252,0.071,0.458,-0.091,-0.387,1.362,1.96,0.709,0.804,2.197802197802201,0,1,0.0982,-0.5688,0.86,0.92,0.48,0.5682,-0.0882,0.8,0.33,0.7928,0.1859,2024-03-12 10:45:00,2024-03-12 10:46:00
2024-03-12,NIFTY_22400_PE,PutBuy,SIG_1,4,1,1710220500,1710223200,109.2,99.1,-10.1,-0.0,Tuesday,4,22400_PE,0,SHORT,,,,163.8,89.54400000000001,45,1,TC,22320.2,22352.15,1710220500,,4,22320.2,1.0,2.197802197802201,0.22,-0.02,0.04,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22320.2],3.89,5.26,7919550,10711300,3.36,5.42,-0.14,both_covering,-0.04,-0.014,-0.027,-0.013,2.14,0.62,-0.86,0.7368421052631579,0.15,0.65,1.16,1.03,0.03,-0.02,0.06,0.03,-0.02,0.06,0.16,0.252,0.071,0.458,-0.091,-0.387,1.362,1.96,0.709,0.804,2.197802197802201,0,1,0.0982,-0.5688,0.86,0.92,0.48,0.5682,-0.0882,0.8,0.33,0.7928,0.1859,2024-03-12 10:45:00,2024-03-12 11:30:00
2024-02-28,NIFTY_22200_PE,PutBuy,SIG_1,1,1,1709097660,1709098200,145.7,210.15,64.45,-0.0,Wednesday,1,22200_PE,0,SHORT,,,,189.41,119.474,45,1,IT,22125.75,22031.4,1709097660,,4,22125.75,0.67,1.0309278350515427,0.11,-0.09,-0.07,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,[22125.75],4.12,5.36,18078700,23539000,4.97,7.47,-0.24,put_to_call_trans,-0.001,0.006,-0.007,0.0,1.54,1.06,0.57,0.85,0.3,0.35,0.58,0.56,0.07,0.28,-0.31,0.07,0.28,-0.31,0.166,0.239,0.131,0.416,-0.073,-0.286,1.059,1.675,0.704,1.097,1.0309278350515427,0,1,-0.0907,0.0213,0.98,0.95,0.33,0.3273,0.0027,0.52,0.14,0.4044,-0.207,2024-02-28 10:51:00,2024-02-28 11:00:00
2024-02-28,NIFTY_22200_PE,PutBuy,SIG_1,2,1,1709097660,1709098080,145.7,178.25,32.55,-0.0,Wednesday,2,22200_PE,0,SHORT,,,,174.83999999999997,119.474,45,1,IT,22125.75,22078.85,1709097660,,4,22125.75,0.67,1.0309278350515427,0.11,-0.09,-0.07,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,[22125.75],4.12,5.36,18078700,23539000,4.97,7.47,-0.24,put_to_call_trans,-0.001,0.006,-0.007,0.0,1.54,1.06,0.57,0.85,0.3,0.35,0.58,0.56,0.07,0.28,-0.31,0.07,0.28,-0.31,0.166,0.239,0.131,0.416,-0.073,-0.286,1.059,1.675,0.704,1.097,1.0309278350515427,0,1,-0.0907,0.0213,0.98,0.95,0.33,0.3273,0.0027,0.52,0.14,0.4044,-0.207,2024-02-28 10:51:00,2024-02-28 10:58:00
2024-02-28,NIFTY_22200_PE,PutBuy,SIG_1,3,1,1709097660,1709098020,145.7,174.6,28.9,-0.0,Wednesday,3,22200_PE,0,SHORT,,,,160.27,119.474,45,1,IT,22125.75,22084.2,1709097660,,4,22125.75,0.67,1.0309278350515427,0.11,-0.09,-0.07,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,[22125.75],4.12,5.36,18078700,23539000,4.97,7.47,-0.24,put_to_call_trans,-0.001,0.006,-0.007,0.0,1.54,1.06,0.57,0.85,0.3,0.35,0.58,0.56,0.07,0.28,-0.31,0.07,0.28,-0.31,0.166,0.239,0.131,0.416,-0.073,-0.286,1.059,1.675,0.704,1.097,1.0309278350515427,0,1,-0.0907,0.0213,0.98,0.95,0.33,0.3273,0.0027,0.52,0.14,0.4044,-0.207,2024-02-28 10:51:00,2024-02-28 10:57:00
2024-02-28,NIFTY_22200_PE,PutBuy,SIG_1,4,1,1709097660,1709100360,145.7,189.45,43.75,-0.0,Wednesday,4,22200_PE,0,SHORT,,,,218.54999999999998,119.474,45,1,TC,22125.75,22056.75,1709097660,,4,22125.75,0.67,1.0309278350515427,0.11,-0.09,-0.07,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,[22125.75],4.12,5.36,18078700,23539000,4.97,7.47,-0.24,put_to_call_trans,-0.001,0.006,-0.007,0.0,1.54,1.06,0.57,0.85,0.3,0.35,0.58,0.56,0.07,0.28,-0.31,0.07,0.28,-0.31,0.166,0.239,0.131,0.416,-0.073,-0.286,1.059,1.675,0.704,1.097,1.0309278350515427,0,1,-0.0907,0.0213,0.98,0.95,0.33,0.3273,0.0027,0.52,0.14,0.4044,-0.207,2024-02-28 10:51:00,2024-02-28 11:36:00
2024-02-26,NIFTY_22200_PE,PutBuy,SIG_1,1,1,1708925400,1708927680,178.55,175.6,-2.95,0.0,Monday,1,22200_PE,0,SHORT,,,,232.115,146.41100000000003,45,1,EC,22111.35,22111.95,1708925400,,4,22111.35,1.0,1.8867924528301883,-0.05,-0.07,-0.05,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22111.35],1.77,3.16,3822400,6832800,2.3,4.93,-0.33,put_to_call_trans,0.0,0.002,-0.002,0.0,2.37,0.86,-1.4,0.10526315789473684,0.8,0.55,1.96,1.38,0.01,0.13,-0.17,0.01,0.13,-0.17,0.124,0.244,0.112,0.455,-0.121,-0.343,1.073,2.96,0.519,1.0,1.8867924528301883,0,1,0.1694,-0.6954,0.75,0.86,0.31,0.399,-0.089,0.57,0.23,1.4944,0.1982,2024-02-26 11:00:00,2024-02-26 11:38:00
2024-02-26,NIFTY_22200_PE,PutBuy,SIG_1,2,1,1708925400,1708927680,178.55,175.6,-2.95,0.0,Monday,2,22200_PE,0,SHORT,,,,214.26000000000002,146.41100000000003,45,1,EC,22111.35,22111.95,1708925400,,4,22111.35,1.0,1.8867924528301883,-0.05,-0.07,-0.05,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22111.35],1.77,3.16,3822400,6832800,2.3,4.93,-0.33,put_to_call_trans,0.0,0.002,-0.002,0.0,2.37,0.86,-1.4,0.10526315789473684,0.8,0.55,1.96,1.38,0.01,0.13,-0.17,0.01,0.13,-0.17,0.124,0.244,0.112,0.455,-0.121,-0.343,1.073,2.96,0.519,1.0,1.8867924528301883,0,1,0.1694,-0.6954,0.75,0.86,0.31,0.399,-0.089,0.57,0.23,1.4944,0.1982,2024-02-26 11:00:00,2024-02-26 11:38:00
2024-02-26,NIFTY_22200_PE,PutBuy,SIG_1,3,1,1708925400,1708927680,178.55,175.6,-2.95,0.0,Monday,3,22200_PE,0,SHORT,,,,196.40500000000003,146.41100000000003,45,1,EC,22111.35,22111.95,1708925400,,4,22111.35,1.0,1.8867924528301883,-0.05,-0.07,-0.05,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22111.35],1.77,3.16,3822400,6832800,2.3,4.93,-0.33,put_to_call_trans,0.0,0.002,-0.002,0.0,2.37,0.86,-1.4,0.10526315789473684,0.8,0.55,1.96,1.38,0.01,0.13,-0.17,0.01,0.13,-0.17,0.124,0.244,0.112,0.455,-0.121,-0.343,1.073,2.96,0.519,1.0,1.8867924528301883,0,1,0.1694,-0.6954,0.75,0.86,0.31,0.399,-0.089,0.57,0.23,1.4944,0.1982,2024-02-26 11:00:00,2024-02-26 11:38:00
2024-02-26,NIFTY_22200_PE,PutBuy,SIG_1,4,1,1708925400,1708927680,178.55,175.6,-2.95,0.0,Monday,4,22200_PE,0,SHORT,,,,267.82500000000005,146.41100000000003,45,1,EC,22111.35,22111.95,1708925400,,4,22111.35,1.0,1.8867924528301883,-0.05,-0.07,-0.05,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[22111.35],1.77,3.16,3822400,6832800,2.3,4.93,-0.33,put_to_call_trans,0.0,0.002,-0.002,0.0,2.37,0.86,-1.4,0.10526315789473684,0.8,0.55,1.96,1.38,0.01,0.13,-0.17,0.01,0.13,-0.17,0.124,0.244,0.112,0.455,-0.121,-0.343,1.073,2.96,0.519,1.0,1.8867924528301883,0,1,0.1694,-0.6954,0.75,0.86,0.31,0.399,-0.089,0.57,0.23,1.4944,0.1982,2024-02-26 11:00:00,2024-02-26 11:38:00
2024-02-22,NIFTY_22000_PE,PutBuy,SIG_1,1,1,1708576140,1708576260,111.25,127.65,16.4,0.0,Thursday,1,22000_PE,0,SHORT,,,,144.625,91.22500000000001,45,1,EC,21946.15,21932.9,1708576140,,2,21946.15,0.0,2.2222222222222254,-0.17,0.0,-0.17,-0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[21946.15],3.31,4.56,36625900,50492450,1.94,2.84,-0.25,both_build_up,0.038,0.034,0.003,0.0,1.57,1.34,2.75,0.75,0.1,0.93,0.84,1.03,-0.18,0.35,-0.82,-0.18,0.35,-0.82,0.156,0.236,0.077,0.491,-0.081,-0.414,1.541,1.915,0.613,1.073,2.2222222222222254,0,1,,,,,,,,,,,,2024-02-22 09:59:00,2024-02-22 10:01:00
2024-02-22,NIFTY_22000_PE,PutBuy,SIG_1,2,1,1708576140,1708576260,111.25,127.65,16.4,0.0,Thursday,2,22000_PE,0,SHORT,,,,133.5,91.22500000000001,45,1,EC,21946.15,21932.9,1708576140,,2,21946.15,0.0,2.2222222222222254,-0.17,0.0,-0.17,-0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[21946.15],3.31,4.56,36625900,50492450,1.94,2.84,-0.25,both_build_up,0.038,0.034,0.003,0.0,1.57,1.34,2.75,0.75,0.1,0.93,0.84,1.03,-0.18,0.35,-0.82,-0.18,0.35,-0.82,0.156,0.236,0.077,0.491,-0.081,-0.414,1.541,1.915,0.613,1.073,2.2222222222222254,0,1,,,,,,,,,,,,2024-02-22 09:59:00,2024-02-22 10:01:00
2024-02-22,NIFTY_22000_PE,PutBuy,SIG_1,3,1,1708576140,1708576200,111.25,122.9,11.65,0.0,Thursday,3,22000_PE,0,SHORT,,,,122.37500000000001,91.22500000000001,45,1,IT,21946.15,21933.65,1708576140,,2,21946.15,0.0,2.2222222222222254,-0.17,0.0,-0.17,-0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[21946.15],3.31,4.56,36625900,50492450,1.94,2.84,-0.25,both_build_up,0.038,0.034,0.003,0.0,1.57,1.34,2.75,0.75,0.1,0.93,0.84,1.03,-0.18,0.35,-0.82,-0.18,0.35,-0.82,0.156,0.236,0.077,0.491,-0.081,-0.414,1.541,1.915,0.613,1.073,2.2222222222222254,0,1,,,,,,,,,,,,2024-02-22 09:59:00,2024-02-22 10:00:00
2024-02-22,NIFTY_22000_PE,PutBuy,SIG_1,4,1,1708576140,1708576260,111.25,127.65,16.4,0.0,Thursday,4,22000_PE,0,SHORT,,,,166.875,91.22500000000001,45,1,EC,21946.15,21932.9,1708576140,,2,21946.15,0.0,2.2222222222222254,-0.17,0.0,-0.17,-0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[21946.15],3.31,4.56,36625900,50492450,1.94,2.84,-0.25,both_build_up,0.038,0.034,0.003,0.0,1.57,1.34,2.75,0.75,0.1,0.93,0.84,1.03,-0.18,0.35,-0.82,-0.18,0.35,-0.82,0.156,0.236,0.077,0.491,-0.081,-0.414,1.541,1.915,0.613,1.073,2.2222222222222254,0,1,,,,,,,,,,,,2024-02-22 09:59:00,2024-02-22 10:01:00
2024-02-12,NIFTY_21700_PE,PutBuy,SIG_1,1,1,1707719700,1707722400,164.4,168.1,3.7,-0.0,Monday,1,21700_PE,0,SHORT,,,,213.72000000000003,134.80800000000002,45,1,TC,21641.0,21635.0,1707719700,,6,21641.0,0.62,1.1695906432748537,-0.36,-0.12,-0.09,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[21641.0],2.31,3.97,4248800,7305900,2.37,3.89,-0.25,call_buildup,0.005,0.003,0.001,0.0,2.55,0.89,1.03,0.8,0.5,0.87,1.43,1.41,0.02,0.38,-0.47,0.02,0.38,-0.47,0.136,0.226,0.07,0.495,-0.09,-0.425,1.409,2.446,0.536,1.013,1.1695906432748537,0,1,0.0092,-0.2086,0.92,0.95,0.54,0.5744,-0.0344,0.73,0.42,1.684,0.4466,2024-02-12 12:05:00,2024-02-12 12:50:00
2024-02-12,NIFTY_21700_PE,PutBuy,SIG_1,2,1,1707719700,1707722400,164.4,168.1,3.7,-0.0,Monday,2,21700_PE,0,SHORT,,,,197.28,134.80800000000002,45,1,TC,21641.0,21635.0,1707719700,,6,21641.0,0.62,1.1695906432748537,-0.36,-0.12,-0.09,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[21641.0],2.31,3.97,4248800,7305900,2.37,3.89,-0.25,call_buildup,0.005,0.003,0.001,0.0,2.55,0.89,1.03,0.8,0.5,0.87,1.43,1.41,0.02,0.38,-0.47,0.02,0.38,-0.47,0.136,0.226,0.07,0.495,-0.09,-0.425,1.409,2.446,0.536,1.013,1.1695906432748537,0,1,0.0092,-0.2086,0.92,0.95,0.54,0.5744,-0.0344,0.73,0.42,1.684,0.4466,2024-02-12 12:05:00,2024-02-12 12:50:00
2024-02-12,NIFTY_21700_PE,PutBuy,SIG_1,3,1,1707719700,1707719880,164.4,181.35,16.95,-0.0,Monday,3,21700_PE,0,SHORT,,,,180.84000000000003,134.80800000000002,45,1,IT,21641.0,21619.25,1707719700,,6,21641.0,0.62,1.1695906432748537,-0.36,-0.12,-0.09,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[21641.0],2.31,3.97,4248800,7305900,2.37,3.89,-0.25,call_buildup,0.005,0.003,0.001,0.0,2.55,0.89,1.03,0.8,0.5,0.87,1.43,1.41,0.02,0.38,-0.47,0.02,0.38,-0.47,0.136,0.226,0.07,0.495,-0.09,-0.425,1.409,2.446,0.536,1.013,1.1695906432748537,0,1,0.0092,-0.2086,0.92,0.95,0.54,0.5744,-0.0344,0.73,0.42,1.684,0.4466,2024-02-12 12:05:00,2024-02-12 12:08:00
