,open,high,low,close,poc_price,va_l_p,va_l_poc_mid,va_l_low_mid,va_h_poc_mid,va_h_high_mid,va_h_p,balance_target,open_tpo,high_tpo,low_tpo,close_tpo,poc_price_tpo,va_l_p_tpo,va_l_poc_mid_tpo,va_l_low_mid_tpo,va_h_poc_mid_tpo,va_h_high_mid_tpo,va_h_p_tpo,balance_target_tpo,open_type,close_type,prev_week_close_to_open,weekly_close_to_close,weekly_open_to_close,weekly_close_to_high,weekly_close_to_low,start_date
0,0,0,43,87,0,15,0,132,0,0,0,0,0,0,13,12,0,2,0,12,0,0,0,0,GAP_DOWN,INSIDE_VA,-0.75%,0.51%,1.28%,0.64%,-1.87%,23/12/22 9:15
1,0,0,130,70,0,2,0,31,0,0,0,0,0,0,18,13,0,1,0,13,0,0,0,0,GAP_DOWN,GAP_DOWN,-0.41%,-1.53%,-1.12%,0.43%,-1.77%,16/12/22 9:15
2,0,0,62,33,32,140,38,89,68,0,103,137,0,0,16,10,10,13,10,15,8,0,8,16,INSIDE_VA,GAP_DOWN,0.27%,-1.17%,-1.43%,0.45%,-1.44%,09/12/22 9:15
3,0,0,0,0,118,0,9,0,133,1,98,0,0,0,0,0,23,0,11,0,16,0,15,0,ABOVE_VA,INSIDE_VA,-0.26%,-1.00%,-0.74%,-0.10%,-1.45%,02/12/22 9:15
4,1,17,0,18,0,0,0,0,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,GAP_UP,GAP_UP,0.08%,1.55%,1.47%,2.02%,-0.80%,25/11/22 9:15
5,119,2,99,16,27,68,28,67,73,1,31,94,15,2,15,7,6,10,7,15,7,5,5,15,INSIDE_VA,GAP_UP,0.27%,0.99%,0.72%,1.07%,-1.09%,18/11/22 9:15
6,0,3,0,0,0,0,0,0,0,0,0,187,0,7,0,0,0,0,0,0,0,0,0,25,GAP_UP,GAP_UP,1.31%,1.65%,0.33%,2.25%,1.24%,11/11/22 9:15
7,0,77,0,123,35,0,14,0,30,38,58,0,0,13,0,13,7,1,13,0,11,13,13,0,INSIDE_VA,INSIDE_VA,0.03%,-0.06%,-0.09%,1.38%,-0.43%,04/11/22 9:15
8,0,41,0,61,0,0,0,0,0,57,45,16,0,7,0,7,0,0,0,0,0,7,4,2,ABOVE_VA,GAP_UP,-0.01%,1.63%,1.64%,2.37%,-0.20%,28/10/22 9:15
9,0,16,0,20,0,0,0,0,18,11,25,0,0,6,0,3,1,0,0,0,3,6,6,0,GAP_UP,GAP_UP,0.33%,1.11%,0.77%,1.41%,-0.25%,21/10/22 9:15
10,146,18,0,0,8,0,0,0,15,57,15,0,10,9,0,0,1,0,0,0,3,12,4,0,ABOVE_VA,GAP_UP,1.79%,3.21%,1.40%,3.47%,0.48%,14/10/22 9:15
11,0,0,0,25,34,0,1,0,61,0,14,0,0,0,0,7,9,0,4,0,13,0,3,0,INSIDE_VA,INSIDE_VA,-0.19%,-1.75%,-1.56%,0.10%,-2.14%,07/10/22 9:15
12,0,0,12,3,65,15,19,21,22,53,18,0,0,0,1,3,7,1,5,1,6,6,5,0,BELOW_VA,ABOVE_VA,-0.27%,2.83%,3.11%,3.47%,-0.57%,30/09/22 9:15
13,0,0,27,1,2,4,2,4,0,0,0,34,0,0,5,1,1,1,1,2,0,0,0,3,INSIDE_VA,GAP_DOWN,-0.26%,-4.51%,-4.26%,0.01%,-4.83%,23/09/22 9:15
14,10,0,45,54,0,40,40,38,0,0,0,44,5,0,9,6,2,6,6,9,0,0,0,8,BELOW_VA,GAP_DOWN,-0.42%,-1.30%,-0.88%,0.26%,-2.48%,16/09/22 9:15
15,0,17,0,5,0,0,0,0,0,0,0,28,0,5,0,5,0,0,0,0,0,0,0,5,GAP_UP,GAP_UP,0.69%,0.41%,-0.28%,1.66%,-0.16%,09/09/22 9:15
16,128,41,0,83,91,0,27,0,135,49,91,0,18,7,0,11,11,0,8,0,18,7,7,0,INSIDE_VA,GAP_UP,0.20%,1.35%,1.15%,1.39%,-0.49%,02/09/22 9:15
17,0,0,2,20,88,6,8,1,73,0,9,0,0,0,3,8,12,3,5,1,12,0,3,0,INSIDE_VA,INSIDE_VA,0.63%,0.31%,-0.32%,1.54%,-1.95%,26/08/22 9:15
18,27,33,52,38,8,52,2,84,7,57,30,0,9,2,16,2,2,5,2,7,2,2,2,0,GAP_UP,GAP_DOWN,0.01%,-2.54%,-2.55%,0.15%,-3.45%,19/08/22 9:15
19,0,60,0,10,0,0,0,0,0,10,0,0,0,7,0,4,0,0,0,0,0,4,0,0,ABOVE_VA,GAP_UP,0.12%,1.85%,1.73%,1.87%,-0.23%,12/08/22 9:15
20,0,28,0,11,0,0,0,0,0,94,60,151,0,13,0,6,0,0,0,0,0,9,7,12,ABOVE_VA,GAP_UP,0.34%,1.58%,1.23%,2.05%,-0.09%,05/08/22 9:15
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAP_UP,GAP_UP,0.93%,2.61%,1.67%,3.36%,0.57%,29/07/22 9:15
22,0,45,0,112,84,0,0,0,84,52,54,0,0,14,0,14,11,0,0,0,13,14,14,0,GAP_UP,GAP_UP,0.31%,1.88%,1.57%,2.03%,-1.03%,22/07/22 9:15
23,29,28,0,44,1,13,0,29,30,40,34,0,8,8,0,5,2,3,2,5,6,8,6,0,BELOW_VA,GAP_UP,0.39%,4.15%,3.74%,4.26%,-0.13%,15/07/22 9:15
24,0,125,0,110,0,0,0,0,13,72,39,0,0,14,0,14,0,0,0,0,2,8,8,0,GAP_UP,INSIDE_VA,0.83%,-1.18%,-2.00%,0.85%,-1.74%,08/07/22 9:15
25,21,48,36,45,8,34,72,48,29,31,78,66,7,9,6,8,8,7,9,8,7,9,7,9,BELOW_VA,GAP_UP,-0.20%,2.56%,2.77%,2.63%,-1.43%,01/07/22 9:15
26,0,67,0,0,0,0,0,0,0,20,0,0,0,11,0,0,0,0,0,0,0,5,0,0,ABOVE_VA,GAP_UP,0.51%,1.02%,0.50%,2.25%,0.27%,24/06/22 9:15
27,0,0,62,45,0,85,16,74,0,0,0,0,0,0,13,13,0,10,6,11,0,0,0,2,GAP_DOWN,INSIDE_VA,-0.49%,1.49%,2.00%,2.34%,-1.07%,17/06/22 9:16
28,0,0,22,0,0,2,0,30,0,0,0,0,0,0,6,0,0,2,0,3,0,0,0,0,BELOW_VA,GAP_DOWN,-1.20%,-6.88%,-5.75%,-0.95%,-6.96%,10/06/22 9:16
29,31,16,0,9,27,58,24,150,9,18,16,0,9,5,0,4,5,8,9,16,4,5,3,0,GAP_UP,BELOW_VA,0.75%,-0.94%,-1.67%,0.94%,-2.37%,03/06/22 9:16
30,0,0,0,0,0,0,0,0,0,35,46,4,0,1,0,3,0,0,0,0,3,5,4,3,ABOVE_VA,GAP_UP,0.59%,2.69%,2.09%,3.05%,0.13%,27/05/22 9:16
31,5,10,0,0,56,0,0,0,67,55,88,0,6,4,0,0,3,0,0,0,8,8,15,0,INSIDE_VA,ABOVE_VA,1.36%,2.36%,0.98%,3.70%,0.48%,20/05/22 9:16
32,0,0,2,71,60,42,57,101,4,0,0,0,0,0,4,12,4,4,6,13,1,0,0,0,BELOW_VA,BELOW_VA,0.95%,0.01%,-0.93%,3.62%,-0.55%,13/05/22 9:16
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GAP_DOWN,GAP_DOWN,-1.52%,-5.06%,-3.59%,-1.11%,-5.60%,06/05/22 9:16
34,6,31,55,7,1,88,14,52,4,19,14,0,3,6,8,3,1,8,5,8,1,4,3,0,GAP_UP,GAP_DOWN,0.57%,-3.26%,-3.81%,0.85%,-3.52%,29/04/22 9:16
35,62,0,0,0,87,89,65,34,34,0,31,0,12,0,0,0,11,11,11,7,12,0,9,0,INSIDE_VA,INSIDE_VA,-0.90%,-0.97%,-0.07%,-0.45%,-2.94%,22/04/22 9:16
36,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,12,GAP_DOWN,GAP_DOWN,-1.63%,-0.39%,1.26%,-0.30%,-3.68%,18/04/22 9:16
37,5,0,3,56,0,74,0,16,0,0,0,0,10,0,6,11,0,10,2,6,0,0,0,0,BELOW_VA,BELOW_VA,0.24%,-1.06%,-1.30%,1.06%,-1.21%,08/04/22 9:16
38,0,9,0,8,9,0,0,0,48,3,25,27,0,6,0,1,1,0,0,0,5,6,4,9,INSIDE_VA,GAP_UP,-0.18%,1.07%,1.25%,3.70%,-0.26%,01/04/22 9:16
39,9,18,6,59,29,42,124,30,60,0,63,135,4,10,3,10,8,8,10,6,7,2,7,14,INSIDE_VA,GAP_UP,0.53%,1.58%,1.04%,2.11%,-1.12%,25/03/22 9:16
40,0,33,0,66,0,0,0,0,0,49,0,0,0,7,0,14,0,0,0,0,0,9,0,0,ABOVE_VA,ABOVE_VA,0.25%,-0.52%,-0.76%,0.90%,-1.62%,21/03/22 9:16
41,0,43,0,18,0,0,0,0,0,3,0,0,0,6,0,7,0,0,0,0,0,4,0,0,ABOVE_VA,GAP_UP,-0.23%,4.35%,4.59%,4.70%,-0.58%,11/03/22 9:16
42,10,0,37,20,24,13,21,6,32,2,26,0,3,0,6,2,5,2,3,2,4,0,4,0,GAP_DOWN,INSIDE_VA,-1.03%,0.35%,1.39%,1.51%,-5.07%,04/03/22 9:16
43,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,BELOW_VA,BELOW_VA,1.84%,1.79%,-0.04%,3.69%,0.85%,25/02/22 9:16
44,0,0,0,82,6,17,43,66,0,0,0,0,0,0,0,9,2,5,8,5,0,0,0,0,INSIDE_VA,GAP_DOWN,-0.26%,-6.15%,-5.91%,0.58%,-6.23%,18/02/22 9:16
45,0,0,31,0,0,10,112,3,0,0,0,0,0,0,8,0,0,4,14,2,0,0,0,0,INSIDE_VA,INSIDE_VA,-0.77%,-1.74%,-0.98%,-0.55%,-4.42%,11/02/22 9:16
46,60,0,7,72,3,62,29,93,73,0,0,0,7,0,3,10,5,7,5,9,10,0,0,0,INSIDE_VA,INSIDE_VA,0.40%,0.38%,-0.02%,0.68%,-2.72%,04/02/22 9:16
47,33,77,0,22,18,0,0,0,19,61,39,0,8,7,0,2,2,0,0,0,3,10,6,0,INSIDE_VA,ABOVE_VA,0.34%,2.16%,1.81%,3.76%,-0.42%,28/01/22 9:16
48,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,GAP_DOWN,GAP_DOWN,-0.95%,-3.56%,-2.64%,-0.42%,-5.32%,21/01/22 9:16
49,32,78,24,119,45,21,9,35,98,75,78,0,4,13,2,13,9,7,4,4,13,13,13,0,INSIDE_VA,BELOW_VA,-0.40%,-2.60%,-2.21%,0.51%,-3.34%,14/01/22 9:16
50,0,42,0,18,2,0,0,0,29,39,54,49,0,8,0,3,3,0,0,0,6,8,8,10,INSIDE_VA,GAP_UP,0.29%,2.89%,2.59%,2.97%,-0.23%,07/01/22 9:16
51,0,2,0,0,0,0,0,0,1,2,1,18,0,1,0,0,0,0,0,0,0,1,1,5,INSIDE_VA,GAP_UP,0.09%,3.00%,2.91%,4.15%,0.06%,31/12/21 9:16
52,278,278,0,42,43,0,9,0,63,47,1,0,21,21,0,8,8,0,6,0,6,18,3,0,ABOVE_VA,ABOVE_VA,0.58%,1.04%,0.46%,1.38%,-1.28%,24/12/21 9:16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35%,4.59%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.88%,-5.91%,,,